07 40.56 	 发布时间：2018-01-11 	 My My My! 	 Troye Sivan 
08 39.46 	 发布时间：2018-01-02 	 Never Be The Same 	 Camila Cabello 
09 33.94 	 发布时间：2018-02-02 	 Sorry 	 Halsey 
10 29.21 	 发布时间：2018-01-24 	 Stranger Things 	 Kygo 
11 27.54 	 发布时间：2018-01-09 	 All Night 	 Steve Aoki 
12 27.37 	 发布时间：2018-02-02 	 Man of the Woods 	 Justin Timberlake 
13 25.50 	 发布时间：2018-01-13 	 Supernova 	 Ansel Elgort 
14 23.02 	 发布时间：2018-01-05 	 You Are The Reason 	 Calum Scott 
15 21.74 	 发布时间：2018-01-10 	 Don't Play It Safe 	 Cassie 
16 21.58 	 发布时间：2018-01-12 	 Get It Right 	 Diplo 
17 17.70 	 发布时间：2018-01-10 	 Street Livin' 	 Black Eyed Peas 
18 16.51 	 发布时间：2018-01-05 	 One Love 	 Jackson Turner 
19 13.24 	 发布时间：2018-01-05 	 Filthy 	 Justin Timberlake 
20 11.67 	 发布时间：2018-01-05 	 I Know You 	 Craig David 
21 8.08 	 发布时间：2018-02-06 	 Rose-Colored Boy 	 Paramore 
22 8.00 	 发布时间：2018-01-20 	 S.L.U.T. 	 Bea Miller 
23 7.90 	 发布时间：2018-01-06 	 Family Feud 	 Beyonce 
24 5.90 	 发布时间：2018-01-12 	 Better On Me 	 Pitbull 
25 0.00 	 发布时间：2018-01-01 	 Friend Of Mine 	 Avicii 




日本 ------------------------------------------------------- 2018-02-12 11:07:38
01 90.42 	 发布时间：2018-02-11 	 Candy Pop Dance Practice ver. 	 TWICE 
02 79.82 	 发布时间：2018-01-29 	 BAD BOY  完整版 	 Red Velvet 
03 75.61 	 发布时间：2018-01-03 	 BBoom BBoom  	 MOMO LAND 
04 69.15 	 发布时间：2018-02-02 	 Monster 英文版 	 Henry 
05 60.32 	 发布时间：2018-01-18 	 Heroine 	 宣美(Wonder Girls) 
06 56.73 	 发布时间：2018-02-11 	 Gorgeous 	 VAV 
07 53.42 	 发布时间：2018-01-31 	 NEGA DOLA 	 BoA 
08 52.38 	 发布时间：2018-02-01 	 The Boots 	 gugudan 
09 52.24 	 发布时间：2017-12-26 	 Universe 	 EXO 
10 48.70 	 发布时间：2018-02-09 	 Rewrite..If I Can 	 Ailee 
11 47.41 	 发布时间：2018-02-06 	 To Do List 	 孝琳(Sistar) 
12 44.93 	 发布时间：2018-01-29 	 HOLIDAY  完整版 	 秀智(miss A) 
13 44.35 	 发布时间：2017-12-29 	 Dear My Family (Live Concert Ver.) 	 Super Junior 
14 43.90 	 发布时间：2018-02-07 	 GOOD BYE 	 洪真英 
15 42.47 	 发布时间：2018-02-07 	 MY STORY  	 April(韩国) 
16 42.32 	 发布时间：2018-01-05 	 Lower 	 Luna(f(x)) 
17 38.27 	 发布时间：2018-01-25 	 Days without you 	 Davichi 
18 37.19 	 发布时间：2018-01-27 	 If You Were Me  花游记OST 	 AOA 
19 29.06 	 发布时间：2018-01-04 	 Paint Me 	 MAMAMOO 
20 28.78 	 发布时间：2018-01-10 	 SPOTLIGHT 	 MONSTA X 
21 28.76 	 发布时间：2018-01-09 	 Secret Garden 	 OH MY GIRL 
22 27.01 	 发布时间：2018-01-17 	 Roller Coaster 	 金请夏 
23 25.16 	 发布时间：2018-01-23 	 Shinin’ 	 金钟铉(SHINee) 
24 23.25 	 发布时间：2018-01-24 	 To Heart 	 fromis_9 
25 22.85 	 发布时间：2018-02-05 	 SPOTLIGHT Performance Ver. 	 VAV 
26 22.41 	 发布时间：2018-01-19 	 Hey 	 申智珉(AOA) 
27 20.67 	 发布时间：2018-01-22 	 爱着别人 	 秀智(miss A) 
28 20.30 	 发布时间：2018-01-26 	 Always Find You (Korean Ver.) 	 俞利(少女时代) 
29 20.15 	 发布时间：2018-02-05 	 Radio Romance -Radio Romance OST Part.1 	 泰一（NCT） 
30 19.36 	 发布时间：2018-02-08 	 No Switchin’Sides 	 The Quiett 
31 19.18 	 发布时间：2018-01-08 	 Tell Me 完整版 	 Infinite 
32 18.56 	 发布时间：2017-12-27 	 You Don’t Go 	 Super Junior-D&E 
33 17.20 	 发布时间：2018-01-29 	 Spotlight 	 VAV 
34 16.73 	 发布时间：2018-01-24 	 Before Our Spring 	 金钟铉(SHINee) 
35 15.66 	 发布时间：2018-01-16 	 Man in the Mirror (LIVE) 	 BoA 
36 15.65 	 发布时间：2018-01-31 	 Candy Performance ver. 	 金Samuel 
37 15.13 	 发布时间：2018-01-24 	 BABY IT’S U 	 郑世云 
38 14.13 	 发布时间：2018-01-17 	 My Flower 	 JBJ 
39 13.42 	 发布时间：2018-01-29 	 It’s U 	 Golden Child 
40 13.33 	 发布时间：2018-01-17 	 RUN IT Prod. by GRAY 	 Jessi 
41 12.58 	 发布时间：2017-12-25 	 Jazzclub 	 BoA 
42 11.78 	 发布时间：2018-01-24 	 Celeb Five(I wanna be a Celeb) 	 韩国群星 
43 10.88 	 发布时间：2018-01-15 	 梦里 	 EXID 
44 10.00 	 发布时间：2018-01-08 	 Don’t Leave 	 Block B 
45 9.91 	 发布时间：2018-01-03 	 Twenty something 	 Hello Venus 
46 9.59 	 发布时间：2018-02-07 	 BONGJESEON 	 Dynamic Duo 
47 8.83 	 发布时间：2018-01-10 	 Diamond Girl 	 MXM 
48 8.76 	 发布时间：2018-01-26 	 私このままでいいのかな 	 BoA 
49 8.44 	 发布时间：2018-02-02 	 仙人掌 	 N(VIXX) 
50 8.29 	 发布时间：2018-02-06 	 The Last Night 	 许阁 




日本 ------------------------------------------------------- 2018-02-12 11:07:45
01 99.00 	 发布时间：2018-02-09 	 LAGRIMA 	 ONEPIXCEL 
02 64.45 	 发布时间：2018-02-10 	 Thrill, Risk, Heartless 	 LiSA 
03 50.93 	 发布时间：2018-02-05 	 Just as I am 	 板野友美 
04 42.39 	 发布时间：2018-02-09 	 PARTY 	 倖田来未 
05 36.04 	 发布时间：2018-02-05 	 サザンカ 	 SEKAI NO OWARI 
06 34.79 	 发布时间：2017-12-26 	 Y.M.C.A. 	 GENERATIONS 
07 31.25 	 发布时间：2018-02-03 	 ハロー カゲロウ 	 GReeeeN 
08 30.61 	 发布时间：2018-01-26 	 LUXE feat. CRAZYBOY & Afrojack 	 登坂広臣 
09 30.01 	 发布时间：2018-02-05 	 I Need You ~夜空の観覧車~ 	 つばきファクトリー 
10 30.00 	 发布时间：2018-01-11 	 雪影ぼうし 	 和楽器バンド 
